"","productTitle","previousPrice","currentPrice","remainingProduct"
"101","Sera Ghani Vanga Pure Mustard Oil - 5 Liter","৳1750","৳999",NA
"102","Trsoye 6604 Stainless Steel Quartz Wrist Watch For Men - Silver and Black","৳1250","৳315",NA
"103"," Fujiko Auto Ignition Glass Double Burner Gas Stove - Blue - F3DG001B","৳5850","৳2999",NA
"104","KASHFUL Emergency LED Light - 20 Watt - White","৳850","৳286",NA
"105","SunV Dishwash Bar - 80 gm","৳10","৳6",NA
"106","MK Fan Dimer - White","৳300","৳88",NA
"107","SMART 3 Pin Multi Socket with Switch","৳210","৳67",NA
"108","Vintage T9 Stainless Steel Trimmer - Single Battery - Bronze","৳1050","৳345",NA
"109","8 Pin Wall Socket With Box - White ","৳145","৳88",NA
"110","EMS Vibrating Foot Massager - Black and White","৳1250","৳273",NA
"111","Odiomix S96 4K Ultra HD 1080p Full HD Android TV Box","৳8075","৳2600",NA
"112","Happylon PVC Waterproof Jacket Set For Bikers - Deep Blue","৳1500","৳749",NA
"113","G Shape 5 In 1 Smart Wireless RGB Charger Table Lamp ","৳1950","৳683",NA
"114"," Tx10 Pro 8K Android TV Box With Voice Control Remote - Black ","৳6500","৳1950",NA
"115","G Shape 5 In 1 Smart Wireless RGB Charger Table Lamp ","৳2500","৳780",NA
"116","KASHFUL LED Light - 25w - White","৳550","৳165",NA
"117","Rechargeable Mini Flashing and Powerful Fan - White","৳600","৳341",NA
"118","Apple AirPods Pro 2nd Gen without ANC Copy - White ","৳1700","৳556",NA
"119","Geo Bag - 35 Galloon - Grey","৳250","৳231",NA
"120","Pack of 12 Pcs Electric Piano Switch - Grey","৳220","৳93",NA
"121","Geo Bag - 15 Galloon - Grey","৳175","৳165",NA
"122","Stainless Steel LED Touch Screen Wrist Watch For Women - Rose Gold","৳2000","৳299",NA
"123","KASHFUL LED Light - 15w - White","৳320","৳113",NA
"124","Nokia 1.4 SmartPhone - 3GB Ram - 64GB Rom - 6.52 inches Display - Purple  ","৳12999","৳7799",NA
"125","Skmei 1842 Stainless Steel Digital Watch for Men - Black","৳1250","৳480",NA
"126","Epson Printer 664 Ink Bottle - 70ml - Black ","৳350","৳258",NA
"127","Supermom Baby Premium Mild Baby Wipes - 120 Pcs","৳235","৳179",NA
