sln,car_brand,car_model,car_country,car_city,car_fuel,car_transmission,car_drive,car_mileage,car_engine_hp,car_engine_capacity,car_age,car_price
8599,Ford,Fiesta    ,USA,Yekaterinburg,gasoline,manual,FWD,203500,80,1.4,17,455000
8600,Volkswagen,Polo    ,DE,Yekaterinburg,gasoline,manual,FWD,198357,105,1.6,9,610000
8601,Nissan,Qashqai    ,JP,Yekaterinburg,gasoline,CVT,FWD,188000,141,2,13,1315000
8602,Toyota,Caldina    ,JP,Yekaterinburg,gasoline,automatic,FWD,414734,140,2,23,565000
8603,Renault,Logan    ,FR,Yekaterinburg,gasoline,manual,FWD,254024,75,1.4,17,370000
8604,Mercedes-Benz,B-Class    ,DE,Yekaterinburg,gasoline,CVT,FWD,139000,116,1.7,13,989000
8605,Volvo,XC70    ,SE,Yekaterinburg,diesel,automatic,4WD,223300,205,2.4,13,2280000
8606,Lada,2110,RUS,Omsk,gasoline,manual,FWD,190000,78,1.5,22,100000
8607,Lada,2110,RUS,Rostov-on-Don,gasoline,manual,FWD,250000,71,1.5,23,220000
8608,Volkswagen,Scirocco    ,DE,Yekaterinburg,gasoline,manual,FWD,442000,90,1.8,35,339000
8609,Hyundai,Grand Starex   ,KR,Yekaterinburg,diesel,automatic,4WD,139000,145,2.5,9,2790000
8610,Nissan,Tiida    ,JP,Yekaterinburg,gasoline,manual,FWD,126000,110,1.6,12,695000
8611,Hyundai,Getz    ,KR,Yekaterinburg,gasoline,manual,FWD,227000,97,1.4,16,440000
8612,Nissan,Primera    ,JP,Yekaterinburg,gasoline,manual,FWD,297000,126,2.2,22,285000
8613,Daewoo,Nexia    ,KR,Yekaterinburg,gasoline,manual,FWD,125000,109,1.6,12,335000
8614,Daihatsu,Move    ,JP,Yekaterinburg,gasoline,CVT,FWD,98753,52,0.7,8,959000
8615,BMW,4-Series    ,DE,Yekaterinburg,gasoline,automatic,4WD,52409,374,3,3,7500000
8616,BMW,X5    ,DE,Yekaterinburg,diesel,automatic,4WD,68829,265,3,5,7550000
8617,Subaru,Impreza WRX   ,JP,Yekaterinburg,gasoline,CVT,4WD,37000,268,2,3,4250000
8618,Lada,2110,RUS,Rostov-on-Don,gasoline,manual,FWD,220000,81,1.6,13,320000
8619,Toyota,Corolla    ,JP,Yekaterinburg,gasoline,manual,FWD,431430,110,1.6,19,575000
8620,Lada,2110,RUS,Rostov-on-Don,gasoline,manual,FWD,155000,81,1.6,18,225000
8621,Skoda,Rapid    ,CZ,Yekaterinburg,gasoline,manual,FWD,149500,90,1.6,6,1199000
8622,Lada,2110,RUS,Rostov-on-Don,gasoline,manual,FWD,415000,89,1.6,22,182500
8623,Audi,S8    ,DE,Yekaterinburg,gasoline,automatic,4WD,192414,450,5.2,17,750000
8624,Ford,Focus    ,USA,Yekaterinburg,gasoline,manual,FWD,203000,125,1.8,14,680000
8625,Haval,F7    ,CN,Yekaterinburg,gasoline,robot,4WD,38100,190,2,4,2399000
8626,Opel,Astra    ,DE,Yekaterinburg,gasoline,automatic,FWD,110000,115,1.6,13,879000
8627,BMW,3-Series    ,DE,Yekaterinburg,gasoline,automatic,RWD,119000,136,1.5,9,1950000
8628,BMW,X6    ,DE,Yekaterinburg,diesel,automatic,4WD,121000,249,3,7,5200000
